STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,PRODUCT_CATEGORIES,Product categories,UNIT_MEASURE,Unit of measure,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2000,,1.079655,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2005,,1.274976,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2010,,1.402739,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2011,,1.432468,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2012,,1.471155,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2013,,1.514411,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2014,,1.557393,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2015,,1.59959,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2016,,1.632535,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2017,,1.653841,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2018,,1.66356,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2019,,1.658988,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2020,,1.651268,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2021,,1.637608,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2022,,1.604422,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_SITTE,Small IT and telecommunication equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2023,,1.580429,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE6,Total,T,Tonnes,GEN,Total waste generated,2000,,306.3,,A,Normal value,3,Thousands,2,Two
